name,regime,start,end,cagr,return,max_drawdown,daily_arithmetic_mean_excess_vs_spy
DEFENSIVE_BIL_20bps,2026_YTD,2026-01-02,2026-07-31,0.03636340295,0.02076458716,0,-0.1402697738
STATIC80_BIL_20bps,2016_2019,2016-01-04,2019-12-31,0.1193215188,0.5683062807,-0.1543322132,-0.02771887948
STATIC80_BIL_20bps,covid2020,2020-01-02,2020-12-31,0.1521553637,0.1528031047,-0.2733148198,-0.04792983018
STATIC80_BIL_20bps,2021,2021-01-04,2021-12-31,0.223138672,0.223138672,-0.04104419541,-0.0525443092
STATIC80_BIL_20bps,inflation2022,2022-01-03,2022-12-30,-0.1435579382,-0.1430311031,-0.1982429534,0.03539195585
STATIC80_BIL_20bps,2023_2025,2023-01-03,2025-12-31,0.1921384902,0.6895404555,-0.1506283073,-0.03510416223
STATIC80_BIL_20bps,2026_YTD,2026-01-02,2026-07-31,0.1525185738,0.08510565052,-0.07009462202,-0.02797308343
STATIC70_BIL_20bps,2016_2019,2016-01-04,2019-12-31,0.1056439035,0.4931895753,-0.1348544437,-0.04125410215
STATIC70_BIL_20bps,covid2020,2020-01-02,2020-12-31,0.1361442368,0.13671985,-0.2407622152,-0.07096229983
STATIC70_BIL_20bps,2021,2021-01-04,2021-12-31,0.1930615969,0.1930615969,-0.03597901986,-0.07873232566
STATIC70_BIL_20bps,inflation2022,2022-01-03,2022-12-30,-0.1241528722,-0.1236920147,-0.1743182889,0.05342680826
STATIC70_BIL_20bps,2023_2025,2023-01-03,2025-12-31,0.1735944621,0.6123179663,-0.1320341028,-0.0524822742
STATIC70_BIL_20bps,2026_YTD,2026-01-02,2026-07-31,0.1381378524,0.07729426609,-0.06071692187,-0.04196111046
ABS12_BIL_20bps,2016_2019,2016-01-04,2019-12-31,0.09180491897,0.419964373,-0.1928663299,-0.05052360243
ABS12_BIL_20bps,covid2020,2020-01-02,2020-12-31,0.02308779591,0.02318046793,-0.3368469246,-0.1500509666
ABS12_BIL_20bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
ABS12_BIL_20bps,inflation2022,2022-01-03,2022-12-30,-0.1264289523,-0.1259602673,-0.1818237519,0.04882018627
ABS12_BIL_20bps,2023_2025,2023-01-03,2025-12-31,0.1985007672,0.7165905678,-0.1870595745,-0.02698348358
ABS12_BIL_20bps,2026_YTD,2026-01-02,2026-07-31,0.181122551,0.1005208916,-0.08882821034,0
SMA10_BIL_20bps,2016_2019,2016-01-04,2019-12-31,0.06190684517,0.270979794,-0.2155958618,-0.07878248494
SMA10_BIL_20bps,covid2020,2020-01-02,2020-12-31,0.1814152116,0.1821970469,-0.1267280089,-0.04470255981
SMA10_BIL_20bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
SMA10_BIL_20bps,inflation2022,2022-01-03,2022-12-30,-0.2235327039,-0.2227527616,-0.2390623105,-0.0737953544
SMA10_BIL_20bps,2023_2025,2023-01-03,2025-12-31,0.1417765697,0.485352029,-0.1002736783,-0.07831008806
SMA10_BIL_20bps,2026_YTD,2026-01-02,2026-07-31,-0.007394344588,-0.004261385093,-0.08882821034,-0.1752160348
SPY_ZERO_CASH_0bps,2016_2019,2016-01-04,2019-12-31,0.1473251382,0.7309014202,-0.1928663299,0
SPY_ZERO_CASH_0bps,covid2020,2020-01-02,2020-12-31,0.1814134304,0.1821952575,-0.3368469246,0
SPY_ZERO_CASH_0bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
SPY_ZERO_CASH_0bps,inflation2022,2022-01-03,2022-12-30,-0.1820460037,-0.1813934928,-0.2447419456,0
SPY_ZERO_CASH_0bps,2023_2025,2023-01-03,2025-12-31,0.2296570958,0.8532197403,-0.1870595745,0
SPY_ZERO_CASH_0bps,2026_YTD,2026-01-02,2026-07-31,0.181122551,0.1005208916,-0.08882821034,0
DEFENSIVE_ZERO_CASH_0bps,2016_2019,2016-01-04,2019-12-31,0,0,0,-0.1456643431
DEFENSIVE_ZERO_CASH_0bps,covid2020,2020-01-02,2020-12-31,0,0,0,-0.2258456102
DEFENSIVE_ZERO_CASH_0bps,2021,2021-01-04,2021-12-31,0,0,0,-0.2595014857
DEFENSIVE_ZERO_CASH_0bps,inflation2022,2022-01-03,2022-12-30,0,0,0,0.1719405349
DEFENSIVE_ZERO_CASH_0bps,2023_2025,2023-01-03,2025-12-31,0,0,0,-0.2180434019
DEFENSIVE_ZERO_CASH_0bps,2026_YTD,2026-01-02,2026-07-31,0,0,0,-0.1759911751
STATIC80_ZERO_CASH_0bps,2016_2019,2016-01-04,2019-12-31,0.1175961968,0.5586781495,-0.1552265525,-0.0292611954
STATIC80_ZERO_CASH_0bps,covid2020,2020-01-02,2020-12-31,0.1517897178,0.1524358016,-0.2737304627,-0.04822551456
STATIC80_ZERO_CASH_0bps,2021,2021-01-04,2021-12-31,0.2236357316,0.2236357316,-0.04100181234,-0.05213697117
STATIC80_ZERO_CASH_0bps,inflation2022,2022-01-03,2022-12-30,-0.1455257832,-0.1449923538,-0.1989227252,0.03309427338
STATIC80_ZERO_CASH_0bps,2023_2025,2023-01-03,2025-12-31,0.1814507772,0.6447407118,-0.1515619704,-0.04411257245
STATIC80_ZERO_CASH_0bps,2026_YTD,2026-01-02,2026-07-31,0.1446957799,0.08086159716,-0.07122025874,-0.03478205302
STATIC70_ZERO_CASH_0bps,2016_2019,2016-01-04,2019-12-31,0.1027665673,0.4777371546,-0.1362277981,-0.04385967255
STATIC70_ZERO_CASH_0bps,covid2020,2020-01-02,2020-12-31,0.1355053652,0.1360781189,-0.2413983838,-0.07149912574
STATIC70_ZERO_CASH_0bps,2021,2021-01-04,2021-12-31,0.1937424589,0.1937424589,-0.03591956991,-0.07816058032
STATIC70_ZERO_CASH_0bps,inflation2022,2022-01-03,2022-12-30,-0.1272367247,-0.1267652674,-0.1754149524,0.04990215682
STATIC70_ZERO_CASH_0bps,2023_2025,2023-01-03,2025-12-31,0.1577718206,0.5483139841,-0.1334625206,-0.0660609346
STATIC70_ZERO_CASH_0bps,2026_YTD,2026-01-02,2026-07-31,0.126502365,0.0709433307,-0.0623867261,-0.05223562824
ABS12_ZERO_CASH_0bps,2016_2019,2016-01-04,2019-12-31,0.09564486616,0.4400063018,-0.1928663299,-0.04702028151
ABS12_ZERO_CASH_0bps,covid2020,2020-01-02,2020-12-31,0.03136704406,0.03149345627,-0.3368469246,-0.1421816145
ABS12_ZERO_CASH_0bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
ABS12_ZERO_CASH_0bps,inflation2022,2022-01-03,2022-12-30,-0.1344492382,-0.1339531587,-0.1818237519,0.03955801233
ABS12_ZERO_CASH_0bps,2023_2025,2023-01-03,2025-12-31,0.1944707931,0.6994234096,-0.1870595745,-0.03035485948
ABS12_ZERO_CASH_0bps,2026_YTD,2026-01-02,2026-07-31,0.181122551,0.1005208916,-0.08882821034,0
SMA10_ZERO_CASH_0bps,2016_2019,2016-01-04,2019-12-31,0.06894734456,0.3049547094,-0.2091491397,-0.07218205657
SMA10_ZERO_CASH_0bps,covid2020,2020-01-02,2020-12-31,0.1889816528,0.1897986373,-0.1267280089,-0.03815206566
SMA10_ZERO_CASH_0bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
SMA10_ZERO_CASH_0bps,inflation2022,2022-01-03,2022-12-30,-0.2189191607,-0.2181529644,-0.2345590343,-0.06794279421
SMA10_ZERO_CASH_0bps,2023_2025,2023-01-03,2025-12-31,0.1453386691,0.4992232614,-0.1002736783,-0.07519721251
SMA10_ZERO_CASH_0bps,2026_YTD,2026-01-02,2026-07-31,0.001066576693,0.0006135659485,-0.08882821034,-0.166704657
SPY_ZERO_CASH_10bps,2016_2019,2016-01-04,2019-12-31,0.1470379162,0.729172248,-0.1928663299,-0.0002502467711
SPY_ZERO_CASH_10bps,covid2020,2020-01-02,2020-12-31,0.1814134304,0.1821952575,-0.3368469246,0
SPY_ZERO_CASH_10bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
SPY_ZERO_CASH_10bps,inflation2022,2022-01-03,2022-12-30,-0.1820460037,-0.1813934928,-0.2447419456,0
SPY_ZERO_CASH_10bps,2023_2025,2023-01-03,2025-12-31,0.2296570958,0.8532197403,-0.1870595745,0
SPY_ZERO_CASH_10bps,2026_YTD,2026-01-02,2026-07-31,0.181122551,0.1005208916,-0.08882821034,0
DEFENSIVE_ZERO_CASH_10bps,2016_2019,2016-01-04,2019-12-31,0,0,0,-0.1456643431
DEFENSIVE_ZERO_CASH_10bps,covid2020,2020-01-02,2020-12-31,0,0,0,-0.2258456102
DEFENSIVE_ZERO_CASH_10bps,2021,2021-01-04,2021-12-31,0,0,0,-0.2595014857
DEFENSIVE_ZERO_CASH_10bps,inflation2022,2022-01-03,2022-12-30,0,0,0,0.1719405349
DEFENSIVE_ZERO_CASH_10bps,2023_2025,2023-01-03,2025-12-31,0,0,0,-0.2180434019
DEFENSIVE_ZERO_CASH_10bps,2026_YTD,2026-01-02,2026-07-31,0,0,0,-0.1759911751
STATIC80_ZERO_CASH_10bps,2016_2019,2016-01-04,2019-12-31,0.1173131892,0.5571030696,-0.1552394913,-0.02951446544
STATIC80_ZERO_CASH_10bps,covid2020,2020-01-02,2020-12-31,0.151634586,0.1522799669,-0.2737361199,-0.04835916403
STATIC80_ZERO_CASH_10bps,2021,2021-01-04,2021-12-31,0.2235704205,0.2235704205,-0.04100747464,-0.05219058605
STATIC80_ZERO_CASH_10bps,inflation2022,2022-01-03,2022-12-30,-0.1456193561,-0.1450856136,-0.1989890289,0.03298439453
STATIC80_ZERO_CASH_10bps,2023_2025,2023-01-03,2025-12-31,0.1813757079,0.64442887,-0.1515701508,-0.0441761528
STATIC80_ZERO_CASH_10bps,2026_YTD,2026-01-02,2026-07-31,0.1446193494,0.08082007115,-0.07122474244,-0.03484900667
STATIC70_ZERO_CASH_10bps,2016_2019,2016-01-04,2019-12-31,0.1024966191,0.4762936027,-0.1362450967,-0.04410453628
STATIC70_ZERO_CASH_10bps,covid2020,2020-01-02,2020-12-31,0.1353050009,0.1358768581,-0.2414061026,-0.07167443605
STATIC70_ZERO_CASH_10bps,2021,2021-01-04,2021-12-31,0.1936586373,0.1936586373,-0.03592701432,-0.07823107541
STATIC70_ZERO_CASH_10bps,inflation2022,2022-01-03,2022-12-30,-0.1273620145,-0.1268901274,-0.1755042306,0.04975818133
STATIC70_ZERO_CASH_10bps,2023_2025,2023-01-03,2025-12-31,0.1576750513,0.547927835,-0.1334734529,-0.06614456586
STATIC70_ZERO_CASH_10bps,2026_YTD,2026-01-02,2026-07-31,0.1264032729,0.0708891245,-0.0623926697,-0.05232380649
ABS12_ZERO_CASH_10bps,2016_2019,2016-01-04,2019-12-31,0.09427358292,0.4328249545,-0.1928663299,-0.04827222932
ABS12_ZERO_CASH_10bps,covid2020,2020-01-02,2020-12-31,0.02931450749,0.02943253028,-0.3368469246,-0.1441289932
ABS12_ZERO_CASH_10bps,2021,2021-01-04,2021-12-31,0.2851540647,0.2851540647,-0.05112956347,0
ABS12_ZERO_CASH_10bps,inflation2022,2022-01-03,2022-12-30,-0.1353182356,-0.1348192055,-0.1818237519,0.03856142236
