,SPY_BIL_0bps,DEFENSIVE_BIL_0bps,STATIC80_BIL_0bps,STATIC70_BIL_0bps,ABS12_BIL_0bps,SMA10_BIL_0bps,SPY_BIL_10bps,DEFENSIVE_BIL_10bps,STATIC80_BIL_10bps,STATIC70_BIL_10bps,ABS12_BIL_10bps,SMA10_BIL_10bps,SPY_BIL_20bps,DEFENSIVE_BIL_20bps,STATIC80_BIL_20bps,STATIC70_BIL_20bps,ABS12_BIL_20bps,SMA10_BIL_20bps,SPY_ZERO_CASH_0bps,DEFENSIVE_ZERO_CASH_0bps,STATIC80_ZERO_CASH_0bps,STATIC70_ZERO_CASH_0bps,ABS12_ZERO_CASH_0bps,SMA10_ZERO_CASH_0bps,SPY_ZERO_CASH_10bps,DEFENSIVE_ZERO_CASH_10bps,STATIC80_ZERO_CASH_10bps,STATIC70_ZERO_CASH_10bps,ABS12_ZERO_CASH_10bps,SMA10_ZERO_CASH_10bps,SPY_ZERO_CASH_20bps,DEFENSIVE_ZERO_CASH_20bps,STATIC80_ZERO_CASH_20bps,STATIC70_ZERO_CASH_20bps,ABS12_ZERO_CASH_20bps,SMA10_ZERO_CASH_20bps
2020-01-15,0.00187126547163,2.59741324233e-05,0.0015045098732,0.00132070268242,0.00187126547163,0.00187126547163,0.00187126547163,2.59741324233e-05,0.0015045098732,0.00132070268242,0.00187126547163,0.00187126547163,0.00187126547163,2.59741324233e-05,0.0015045098732,0.00132070268242,0.00187126547163,0.00187126547163,0.00187126547163,0,0.00149947812285,0.00131312478863,0.00187126547163,0.00187126547163,0.00187126547163,0,0.00149947812285,0.00131312478863,0.00187126547163,0.00187126547163,0.00187126547163,0,0.00149947812285,0.00131312478863,0.00187126547163,0.00187126547163
2020-01-16,0.00835444440155,5.77625215477e-05,0.00670789555982,0.00588223965958,0.00835444440155,0.00835444440155,0.00835444440155,5.77625215477e-05,0.00670789555982,0.00588223965958,0.00835444440155,0.00835444440155,0.00835444440155,5.77625215477e-05,0.00670789555982,0.00588223965958,0.00835444440155,0.00835444440155,0.00835444440155,0,0.00669704930671,0.00586583957101,0.00835444440155,0.00835444440155,0.00835444440155,0,0.00669704930671,0.00586583957101,0.00835444440155,0.00835444440155,0.00835444440155,0,0.00669704930671,0.00586583957101,0.00835444440155,0.00835444440155
2020-01-17,0.00385340548158,0.000154946337962,0.00312426264168,0.00275773801239,0.00385340548158,0.00385340548158,0.00385340548158,0.000154946337962,0.00312426264168,0.00275773801239,0.00385340548158,0.00385340548158,0.00385340548158,0.000154946337962,0.00312426264168,0.00275773801239,0.00385340548158,0.00385340548158,0.00385340548158,0,0.00309403381089,0.00271225473628,0.00385340548158,0.00385340548158,0.00385340548158,0,0.00309403381089,0.00271225473628,0.00385340548158,0.00385340548158,0.00385340548158,0,0.00309403381089,0.00271225473628,0.00385340548158,0.00385340548158
2020-01-21,-0.0026295689803,3.21976151831e-05,-0.00210636105637,-0.00184306816421,-0.0026295689803,-0.0026295689803,-0.0026295689803,3.21976151831e-05,-0.00210636105637,-0.00184306816421,-0.0026295689803,-0.0026295689803,-0.0026295689803,3.21976151831e-05,-0.00210636105637,-0.00184306816421,-0.0026295689803,-0.0026295689803,-0.0026295689803,0,-0.00211297112243,-0.00185295258889,-0.0026295689803,-0.0026295689803,-0.0026295689803,0,-0.00211297112243,-0.00185295258889,-0.0026295689803,-0.0026295689803,-0.0026295689803,0,-0.00211297112243,-0.00185295258889,-0.0026295689803,-0.0026295689803
2020-01-22,0.000321280950065,4.40325915076e-05,0.000266667067188,0.000239205486068,0.000321280950065,0.000321280950065,0.000321280950065,4.40325915076e-05,0.000266667067188,0.000239205486068,0.000321280950065,0.000321280950065,0.000321280950065,4.40325915076e-05,0.000266667067188,0.000239205486068,0.000321280950065,0.000321280950065,0.000321280950065,0,0.000258029333292,0.000226217749131,0.000321280950065,0.000321280950065,0.000321280950065,0,0.000258029333292,0.000226217749131,0.000321280950065,0.000321280950065,0.000321280950065,0,0.000258029333292,0.000226217749131,0.000321280950065,0.000321280950065
2020-01-23,0.00120425290898,3.90472877174e-05,0.00097477548383,0.000859377535648,0.00120425290898,0.00120425290898,0.00120425290898,3.90472877174e-05,0.00097477548383,0.000859377535648,0.00120425290898,0.00120425290898,0.00120425290898,3.90472877174e-05,0.00097477548383,0.000859377535648,0.00120425290898,0.00120425290898,0.00120425290898,0,0.000967228914204,0.000848009425954,0.00120425290898,0.00120425290898,0.00120425290898,0,0.000967228914204,0.000848009425954,0.00120425290898,0.00120425290898,0.00120425290898,0,0.000967228914204,0.000848009425954,0.00120425290898,0.00120425290898
2020-01-24,-0.00897994652648,0.000119683514402,-0.00718952637537,-0.00628886259336,-0.00897994652648,-0.00897994652648,-0.00897994652648,0.000119683514402,-0.00718952637537,-0.00628886259336,-0.00897994652648,-0.00897994652648,-0.00897994652648,0.000119683514402,-0.00718952637537,-0.00628886259336,-0.00897994652648,-0.00897994652648,-0.00897994652648,0,-0.00721419943029,-0.00632573919155,-0.00897994652648,-0.00897994652648,-0.00897994652648,0,-0.00721419943029,-0.00632573919155,-0.00897994652648,-0.00897994652648,-0.00897994652648,0,-0.00721419943029,-0.00632573919155,-0.00897994652648,-0.00897994652648
2020-01-27,-0.0156514078057,3.83964153623e-05,-0.0125415941196,-0.0109814511529,-0.0156514078057,-0.0156514078057,-0.0156514078057,3.83964153623e-05,-0.0125415941196,-0.0109814511529,-0.0156514078057,-0.0156514078057,-0.0156514078057,3.83964153623e-05,-0.0125415941196,-0.0109814511529,-0.0156514078057,-0.0156514078057,-0.0156514078057,0,-0.0125514727131,-0.0109958635286,-0.0156514078057,-0.0156514078057,-0.0156514078057,0,-0.0125514727131,-0.0109958635286,-0.0156514078057,-0.0156514078057,-0.0156514078057,0,-0.0125514727131,-0.0109958635286,-0.0156514078057,-0.0156514078057
2020-01-28,0.0100187452488,2.66819710191e-05,0.00801302718596,0.00701154229781,0.0100187452488,0.0100187452488,0.0100187452488,2.66819710191e-05,0.00801302718596,0.00701154229781,0.0100187452488,0.0100187452488,0.0100187452488,2.66819710191e-05,0.00801302718596,0.00701154229781,0.0100187452488,0.0100187452488,0.0100187452488,0,0.00800919874662,0.00700551526882,0.0100187452488,0.0100187452488,0.0100187452488,0,0.00800919874662,0.00700551526882,0.0100187452488,0.0100187452488,0.0100187452488,0,0.00800919874662,0.00700551526882,0.0100187452488,0.0100187452488
2020-01-29,-0.000843492794641,3.74324299017e-05,-0.000668064678915,-0.000580209230637,-0.000843492794641,-0.000843492794641,-0.000843492794641,3.74324299017e-05,-0.000668064678915,-0.000580209230637,-0.000843492794641,-0.000843492794641,-0.000843492794641,3.74324299017e-05,-0.000668064678915,-0.000580209230637,-0.000843492794641,-0.000843492794641,-0.000843492794641,0,-0.000675650422643,-0.000591569414958,-0.000843492794641,-0.000843492794641,-0.000843492794641,0,-0.000675650422643,-0.000591569414958,-0.000843492794641,-0.000843492794641,-0.000843492794641,0,-0.000675650422643,-0.000591569414958,-0.000843492794641,-0.000843492794641
